Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Wortel / kg,kg,8377,Agustus,2018
Buncis,kg,10465,Agustus,2018
Daging Ayam Broiler,kg,36643,April,2021
Ikan Kembung / kg,kg,28106,Agustus,2018
ikan Tuna / kg,kg,35151,Agustus,2018
Ikan Tongkol / kg,kg,27775,Agustus,2018
Ikan Cakalang / kg,kg,28683,Agustus,2018
Beras Bengawan,kg,11226,September,2018
Beras Mentik,kg,10926,September,2018
Beras IR 64,kg,9429,September,2018
Gula Pasir Dalam Negri / kg,kg,10808,September,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11734,September,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26412,September,2018
Minyak Goreng Curah / kg (liter),kg,10835,September,2018
Daging Sapi Murni / kg,kg,108003,September,2018
Daging Ayam Broiler,kg,35942,Mei,2021
Daging Ayam Broiler,kg,32214,Juni,2021
Telur Ayam Ras (Petelur) / kg,kg,20348,September,2018
Daging Ayam Broiler,kg,29214,Juli,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,10223,September,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9718,September,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38311,September,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36257,September,2018
Jagung Pipilan Kering / kg,kg,5938,September,2018
Garam Beryodium Bata / buah,Buah,1147,September,2018
Daging Ayam Broiler,kg,30573,Agustus,2021
Tepung Terigu / kg,kg,7869,September,2018
Kacang Kedelai Eks Impor / kg,kg,8445,September,2018
Kacang Kedelai Lokal,kg,8742,September,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2305,September,2018
Cabe Merah Besar Keriting / kg,kg,19120,September,2018
Cabe Merah Besar,kg,15573,September,2018
Cabe Rawit / kg,kg,16228,September,2018
Bawang Merah,kg,16124,September,2018
Bawang Putih,kg,19016,September,2018
Ikan Asin Teri / kg,kg,64856,September,2018
Kacang Hijau / kg,kg,17917,September,2018
Kacang Tanah / kg,kg,22223,September,2018
Ketela Pohon / kg,kg,3668,September,2018
Kol/kubis (/kg),kg,5675,September,2018
Kentang / kg,kg,12646,September,2018
Tomat / kg,kg,5849,September,2018
Wortel / kg,kg,8616,September,2018
Buncis,kg,8695,September,2018
Daging Ayam Broiler,kg,31503,September,2021
Ikan Kembung / kg,kg,28127,September,2018
ikan Tuna / kg,kg,34764,September,2018
Ikan Tongkol / kg,kg,27623,September,2018
Ikan Cakalang / kg,kg,28546,September,2018
Beras Bengawan,kg,11205,Oktober,2018
Beras Mentik,kg,10920,Oktober,2018
Beras IR 64,kg,9487,Oktober,2018
Gula Pasir Dalam Negri / kg,kg,10528,Oktober,2018
